Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AF66G,NSSC - NASA Shared Services Center,,AZ,'09',3/16/2009,8/19/2013,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Training Grant,-590,"389,122","389,122",[None Indicated],N/A,N/A,"COMPREHENSIVE TRANSFORMATION OF JUNIOR-YEAR AERONAUTICS INSTRUCTION: The proposal outlines a revolutionary approach to teaching aeronautical engineering courses that will increase student motivation and modernize course content. It is proposed to invert the classic ;,theory-to-application;, teaching approach by using modern-day tools to introduce basic concepts instead of starting with mathematical derivations of general theories. The project will include development of software tools that will enable students to engage in computational experimentation to evaluate airfoils, wings, aircraft dynamic behavior and flight control design. This approach will improve student motivation, introduce useful, modern methods of analysis and simulation and integrate the learning of fundamental concepts with the use of computational tools.  This proposal leverages pedagogical research, which shows that students'' perception regarding the utility of course materials plays a large role in student learning. One goal of this project is to help students understand the importance of the course content and to remove content they are unlikely to use in the future. The proposed course modifications will also support student use of active, deep learning strategies. In using simulation software to create their own knowledge, students participate in knowledge-building, which is required for a high level of understanding. The curricular approach will support students;, motivation for learning by positively influencing their self-efficacy, which impacts the amount of effort students put into understanding problems and their willingness to persist at solving problems.  The project focuses on junior-level courses that are found in most Aeronautical or Aerospace Engineering curricula. The courseware will consist of user-friendly interfaces that connect students and course instructors with commercially available software for aerodynamics analysis and flight simulation. Project deliverables will include a critical evaluation of the effectiveness of the approach for student motivation and student learning, as well as all developed courseware, which will be available for free distribution through a web portal.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AG41G,NSSC - NASA Shared Services Center,,AZ,'09',3/24/2009,8/12/2013,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,"-1,041","275,959","275,959",[None Indicated],N/A,N/A,"CONSTRAINING THE IMPACT HISTORY OF METEORITE PARENT BODIES FROM SHOCK METAMORPHISM SUMMARY:  Hypervelocity collisions within the solar system represent a primary process in the accretion and modification of planetary bodies. A record of impact processes on meteorite parent bodies is contained in the shock metamorphic effects seen in many meteorites. The key to reading this record is to use the shock metamorphic effects to estimate the pressure and duration of shock events, which can be related back to velocity and size of the impacting bodies. The primary objective of this research is to understand the conditions and dynamics of shock metamorphism in meteorites from the mineralogy and microstructures of high-pressure minerals in and around shock-induced melt veins and use this information to explore the impact processes on meteorite parent bodies. We will use transmission electron microscopy, scanning electron microscopy and Raman spectroscopy to investigate the mineralogy, textures, and microstructures of high-pressure minerals in and associated with shock-melt veins in chondrites. From these data, we will use estimate shock pressures. Thermal modeling of melt veins will be used to estimate the time required for melt-vein quench at high pressure, providing a minimum estimate of the shock pulse duration. We will investigate the specific mechanisms by which olivine and pyroxene transform to their high-pressure polymorphs and use this data, along with thermal histories and kinetic data, to further constrain the shock-metamorphic history of meteorites. The constraints on shock pressure, pulse duration and thermal history will be used in three-dimensional shock-physics to interpret impact parameters, such as the size of the impacting body, relative impact velocity and sample depth in the meteorite parent bodies at time of impact. The resulting data will enhance our understanding of shock metamorphism in meteorites and the impact processes that occurred on their parent bodies.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AH40G,NSSC - NASA Shared Services Center,,AZ,'09',4/16/2009,2/13/2014,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,0,"396,599","396,599",[None Indicated],N/A,N/A,"RNA BINDING PROTEINS AS EVOLUTIONARILY CONSERVED CELLULAR SPACEFLIGHT RESPONSE MECHANSIMS: Understanding infectious disease risks during spaceflight is critical to provide safe passage for human exploration to the moon and Mars. This issue is especially important given reports that the crew's immune system is dysfunctional during flight, and our recent discovery that spaceflight increased the disease-causing potential and globally altered the gene expression of the human food-borne pathogen Salmonella typhimurium. Our research also showed that many of the observed changes in Salmonella were, associated with specific proteins in the cells, called RNA binding proteins, that bind to and regulate genetic material within the cell to control cellular characteristics in response to stress. In addition, our studies during spaceflight and using ground-based, spaceflight analogue culture systems have shown that increasing the concentration of certain ionic salts, like phosphates, in the growth media can prevent the increased disease causing potential observed for Salmonella during spaceflight. Interestingly, human cells also contain evolutionarily conserved RNA binding proteins that are very similar in structure and function to those found in bacteria. In human cells, these RNA binding proteins are critical for the cells proper function, including supporting a healthy immune system, maintaining tissue differentiation, and responding to cellular stress. We hypothesize that RNA binding regulatory proteins and their small RNA binding counterparts are key to a conserved, common cellular spaceflight response mechanism in both bacterial and human cells and that this response can be manipulated by environmental salt/ion levels. The implications of a universally conserved molecular response to spaceflight would affect NASA's approach to infectious disease risk assessment, development of biological processing systems for exploration, and changes in biodegradation during a mission. Indeed, if these responses are also observed in human cells, they may translate into knowledge of both the astronaut's response to infection and possibly larger physiological responses that are influenced by cellular changes.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AK93H,NSSC - NASA Shared Services Center,,AZ,'09',6/8/2009,3/30/2014,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Training Grant,0,"90,000","90,000",[None Indicated],N/A,N/A,FULLY-PASSIVE MICROWAVE BACK-SCATTERING DEVICE FOR TELEMETRY OF NEURAL POTENTIALS The proposed research activity studies a miniaturized neural recorder.  The recorder utilizes a passive and wireless telemetry modulated by non-linear elements on a chip.  If successful the research produces an ultra-small battery-free implant to record a neural signal.  The applicant Helen Schwerdt is a talented Electrical Engineering student having a background of biomedical engineering.,,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AL29G,NSSC - NASA Shared Services Center,,AZ,'09',7/17/2009,2/10/2016,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,"150,607","575,269","575,269",[None Indicated],N/A,N/A,"ARIZONA STATE UNIVERSITY LABORATORY AND FIELD STUDIES OF SILICA FOR IMPROVED UNDERSTANDING OF RECENT DISCOVERIES ON MARS THE MINIATURE THERMAL EMISSION SPECTROMETER ON THE SPIRIT ROVER IN GUSEV CRATER HAS PROVIDED THERMAL INFRARED (TIR) SPECTRA OF SOIL AND ERODED OUTCROPS ADJACENT TO THE HOME PLATE FEATURE THAT SHOW A DOMINANT OPAL-A PHASE (HYDRATED AMORPHOUS SILICA). SUPPORTED BY ADDITIONAL OBSERVATIONS, THERE IS COMPELLING EVIDENCE FOR A HYDROTHERMAL SYSTEM IN THIS LOCATION BUT THE DETAILS REMAIN UNCLEAR. VISIBLE/NEAR INFRARED (VNIR) SPECTRAL EVIDENCE OF H2O AND OH-BEARING OPALINE SILICA OR CHALCEDONY HAS NOW BEEN OBSERVED FROM ORBIT USING THE COMPACT RECONNAISSANCE IMAGING SPECTROMETER FOR MARS ON THE MARS RECONNAISSANCE ORBITER. THESE MATERIALS ARE FOUND IN UNITS SURROUNDING THE VALLES MARINERIS CANYON SYSTEM BUT THEIR ORIGIN IS UNCERTAIN. THE PRESENCE OF SILICA PHASES IN BOTH CASES POINTS TO THE INTERACTION OF SIGNIFICANT AMOUNTS OF WATER WITH THE MARTIAN CRUST. IN THE CASE OF HOME PLATE, EVIDENCE FOR AN ANCIENT HABITABLE ENVIRONMENT IS PROVOCATIVE. THE SPECTRAL DATA ARE RICH IN DETAILS THAT COULD LEAD TO A CLEARER UNDERSTANDING OF THE GEOLOGIC ENVIRONMENTS THAT PRODUCED THE SILICA DEPOSITS. HOWEVER, EXISTING SPECTRAL STUDIES OF THESE MATERIALS ARE INCOMPLETE AND IN SOME CASES, COMPLETELY LACKING. WE PROPOSE A COMPREHENSIVE SET OF LABORATORY AND FIELD STUDIES DESIGNED TO ELUCIDATE THE RELATIONSHIP BETWEEN SPECTRAL FEATURES OF SILICA MATERIALS AND THEIR MINERALOGICAL, TEXTURAL, AND GEOCHEMICAL CHARACTERISTICS. SILICA SAMPLES FROM A WIDE VARIETY OF SETTINGS WILL BE MEASURED USING VNIR AND TIR SPECTROSCOPY, OPTICAL AND SCANNING ELECTRON MICROSCOPY, X-RAY POWDER DIFFRACTION, ELECTRON MICROPROBE, AND HIGH-RESOLUTION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY. WE WILL USE VNIR AND TIR FIELD SPECTROMETERS IN YELLOWSTONE NATIONAL PARK AND HAWAII VOLCANOES NATIONAL PARK TO MEASURE SPECTRA OF SILICA DEPOSITS FROM A VARIETY OF SETTINGS. SAMPLES WILL BE RETURNED FOR LABORATORY CHARACTERIZATION. THIS COMBINATION OF LABORATORY AND FIELD MEASUREMENTS SHOULD PROVIDE THE MOST COMPLETE DATA SET AVAILABLE FOR THE INTERPRETATION OF SILICA SPECTRA FROM MARS.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AM61G,NSSC - NASA Shared Services Center,,AZ,'09',7/20/2009,5/29/2014,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,0,"139,956","139,956",[None Indicated],N/A,N/A,"Arizona State University Characterizing the Diversity of Pristine Lunar Highlands Igneous Materials  We will complete a focused petrologic investigation that includes optical microscopy, scanning electron microscopy, electron probe microanalysis, and laser ablation inductively coupled mass spectrometry [LA-ICPMS]) of the mineral fragments in carefully selected Apollo 16 crystalline impact melt rocks as part of an initiative to more fully assess the compositional diversity of pristine lunar highlands igneous materials. By collecting an extensive and integrated dataset of trace element concentrations, we expect to identify and characterize rock types that are underrepresented in the Apollo collection. These new data will facilitate a better understanding of lunar crustal components and their compositions and the dynamics of lunar basin-forming processes. This work is fundamental to providing a firm foundation for the study of lunar remote sensing data and returned lunar samples during the next generation of lunar exploration.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AM94G,NSSC - NASA Shared Services Center,,AZ,'09',7/1/2009,2/12/2015,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,0,"161,713","161,713",[None Indicated],N/A,N/A,"GEOLOGIC MAPPING OF THE OLYMPUS MONS VOLCANO, MARS  The martian volcano Olympus Mons (OM), the most prominent shield volcano in the solar system, has an uncertain genetic link to volcanism in the Tharsis Province. Insights into its geological evolution can be obtained via mapping on high resolution images obtained from the latest generation of Mars spacecraft. We propose to investigate the volcanic, glacial, and erosional processes that have formed OM using geologic mapping techniques applied to HRSC data geometrically rectified to MOLA data, and supplemented by THEMIS, MOC, HiRISE and CTX data where available. HRSC obtained complete coverage of OM, enabling consistent mapping across the volcano, and all of the required data are available in the PDS. The objectives of this project include: 1) Determining the areal extent, distribution, and stratigraphic relationships of lava flow morphologies to identify and understand potential changes in late-stage effusive activity across the volcano; 2) Determining the areal extent and distribution of glacial and aeolian deposits on the flanks and their stratigraphic relationship to the lava flows, to obtain a volcano-wide understanding of lava-ice interactions and the impact of aeolian cover; and 3) Assessing the relationship between tectonic/erosional and volcanic processes, dominantly in the basal scarp, mid-flank terraces, and caldera regions, and their contribution to the volcano's shape. The product of this research will be a geologic map of OM (1:1M scale) published in a peer-reviewed journal. The result of this research will be a more complete understanding of the processes that have formed OM, which can provide additional insight into overall evolution of the Tharsis Province. This research is relevant to NASA's Strategic Sub-Goal 3C of understanding the genesis and evolution of Solar System bodies and physical processes active on the terrestrial planets. NOTE: This proposal was submitted to PG and G in 2008, and if funded by PG and G, will be withdrawn from MDAP.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AQ94H,NSSC - NASA Shared Services Center,,AZ,'09',8/12/2009,1/6/2014,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Training Grant,0,"89,492","89,492",[None Indicated],N/A,N/A,"ARIZONA STATE UNIVERSITY PETROGENESIS AND CHRONOLOGY OF THE ANGRITES:  IMPLICATIONS FOR PROCESSES ON THE ANGRITE PARENT BODY The primary objective of this proposal is to gain an understanding of the processes and their associated timescales occurring on some of the earliest formed bodies in the Solar System. The particular focus of the proposed work is on a rare group of meteorites (achondrites), the angrites. The proposed research will provide unique constraints on the petrogenesis and the formation times of this rare meteorite class on their parent body. The research being proposed will utilize several analytical techniques in order to accomplish the research objectives. This instrumentation includes a Cameca IMS-6f ion microprobe for in situ trace element measurements located at Arizona State University (ASU), a Thermo Neptune multicollector inductively coupled plasma mass spectrometer (ASU), and a Finnigan Triton thermal ionization mass spectrometer (Carnegie Institute of Washington) with preparation of samples performed under clean room conditions. The proposed work will address two of the primary research objects of the Planetary Science Research Program of how did the Sun's family of planets and minor bodies originate?"" and ""how did the Solar System evolve to its current diverse state?"".""",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX09AW29G,NSSC - NASA Shared Services Center,,AZ,'09',9/17/2009,2/26/2015,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,0,"29,996","29,996",[None Indicated],N/A,N/A,"Arizona State University Improving Planetary Surface Science Return: Robotic Follow-up for Human Exploration  We propose to investigate how robotic rovers may be used to perform follow-up"" work after human extra-vehicular activity (EVA) in order to improve lunar surface science. We believe that this field exploration technique offers significant potential to maximize scientific and technical return from lunar surface missions. In particular, robotic follow-up can be performed during, and between, human missions in order to increase crew productivity and reduce operational risk. The human return to the Moon in 2020 offers new opportunities to significantly advance the scientific exploration of the Moon. When the new lunar surface campaign begins, humans will initially be on the Moon less than 10% of the time. During the 90% of time between crew visits, however, robots will be available to perform surface operations. A central challenge, therefore, is to understand how robotic systems can be used to effectively address surface science needs. We propose to examine how humans and robots can work together in a coordinated manner to improve operational efficacy and science return. In this study, the central question that we will address is: How can robotic rovers best support human exploration with follow-up activity? Our goals are to: 1) Identify surface science scenarios for human explorers to draw maximum benefit from robotic follow-up to vehicular traverses and on-foot EVAs. 2) Identify science operations requirements for conducting ""robotic follow-up"" on planetary surfaces after human exploration. 3) Identify mission operations protocols for optimizing human exploration and robotic follow-up. We will achieve these goals by conducting yearly field tests of human exploration traverses with robotic follow-up at the Haughton impact structure on Devon Island.""",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX10AD77G,NSSC - NASA Shared Services Center,,AZ,'09',2/1/2010,8/23/2013,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,0,"328,277","328,277",[None Indicated],N/A,N/A,"The unified model of Seyfert 1 and Seyfert 2 galaxies proposes that they are a single population whose nuclei are viewed at different orientations. However, differences have been found between the properties of type 1 and 2 Seyferts that are inconsistent with simple unification. In some Seyfert 2 galaxies the broad-line region seen in Seyfert 1s may thus have disappeared, which simulations show will happen at very low accretion rates onto the central black hole. Such low accretion rates may be accompanied by declining star formation rates in the host galaxy. We propose to investigate this possibility through a multiwavelength study of the global star formation rates and kiloparsec-scale structure of 42 bright, nearby Seyfert galaxies selected from the Palomar spectral survey. High-quality 2 - 10 keV X-ray spectra of this sample have recently been obtained by XMM-Newton, with associated constraints on the nuclear accretion rates. The deep (#tilde# 10 kilosec) and wide (24 arcmin) near-UV images of the objects obtained concurrently by the XMM-Optical Monitor telescope offer an unprecedented opportunity to measure the strength and distribution of their star formation, and will be the foundation of our study. We will combine these data with GALEX, Spitzer, HST, Chandra, optical, 2MASS, and radio observations to clarify the links between the emission at the respective wavelengths. We will specifically measure and compare the global star formation rates from the near-UV and Spitzer 24 micron images using current calibrations, and quantify the galaxies'' structure in each band using a variety of methods including 2-D decomposition and the CAS and Gini parameters. We will then perform correlation tests between the measured parameters, including the nuclear accretion rates and global star formation rates, and test for differences between the Seyfert 1 and Seyfert 2 subsamples. The distribution of star formation revealed in the UV and Spitzer images will also provide a probe of feedback processes from nuclear outflows when combined with Chandra X-ray and radio images. In addition to the proposed analysis, we will produce a web-based public atlas of the images and relevant measured quantities to facilitate their future use. This project addresses the NASA ADP goals of understanding the origin and evolution of galaxies and phenomena associated with black holes.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX10AG38G,NSSC - NASA Shared Services Center,,AZ,'09',3/18/2010,3/14/2015,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,"109,000","409,000","409,000",[None Indicated],N/A,N/A,"Many small martian craters contain windblown sediments asymmetrically positioned on the floor which could indicate the prevailing winds. However, wind pattern and deposition appear to be functions of crater geometry. Two end-member cases could result in opposite sites of deposition; #1) raised rim craters with deep floors result in deposition on the upwind floor as a result of flow stagnation and/or flow reversal and #2) low-rimmed or rimless shallow craters conversely lack flow stagnation and wind reversal, with deposits banking"" against thee downwind part of the floor. We propose to determine the ""cross-over"" in crater geometry between the end members, based on wind tunnel simulations in which the crater geometry is systematically varied. Wind tunnel results will be assessed through field work on full-scale craters at Amboy lava field, Calif. Results from simulations and field studies will be applied to the analysis of deposits in the Gusev and Meridiani areas using MER and HiRISE images. The types, dimensions, and locations of the deposits with respect to crater geometry (rim, floor, and location) will be determined for each candidate crater. The flow-field model as a function of crater geometry will be applied to the data set and compared to the inferred wind direction derived from the wind streaks and wind tails seen in the zones adjacent to (but not within) the craters to assess consistency. The overall wind directions derived from the synthesis will then be compared to predictions of wind patterns as a function of time of day and season based on models of the atmosphere for regional scales. If the analysis is successful, then the proposed technique of using the location of aeolian deposits in small craters has the potential for application to the many areas of Mars images by HIRISE to infer local wind patterns.""",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX10AG48G,NSSC - NASA Shared Services Center,,AZ,'09',4/1/2010,12/31/2013,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,"75,000","524,781","524,781",[None Indicated],N/A,N/A,"ENSTATITE CHONDRITES (ECS) ARE A MAJOR GROUP OF METEORITES CHARACTERIZED BY HIGHLY REDUCED MINERAL ASSEMBLAGES WHOSE ORIGINS ARE UNCLEAR AND REMAIN A CAUSE OF SPECULATION. THEIR REDUCED, ANHYDROUS STATE IMPLIES FORMATION IN THE INNER SOLAR SYSTEM. THEY ARE THE ONLY METEORITE GROUP WITH O-ISOTOPE COMPOSITIONS MATCHING EARTH AND THE MOON AND COULD THEREFORE CONTAIN IMPORTANT INFORMATION RELEVANT TO TERRESTRIAL PLANET FORMATION (CF. THE NASA MESSENGER SPACECRAFT CURRENTLY ORBITING MERCURY). A SIGNIFICANT CHALLENGE IS DETERMINING WHETHER EC COMPOSITIONS AND MINERALS DEVELOPED IN THE NEBULA, BY PARENT-BODY PROCESSING, THROUGH PLANETESIMAL COLLISIONS, OR SOME COMBINATION OF THESE AND OTHER PROCESSES. CHONDRITE MATRIX, BECAUSE OF ITS FINE-GRAINED CHARACTER, IS A SENSITIVE INDICATOR OF ALTERATION PROCESSES. IT IS ALSO A POSSIBLE REPOSITORY OF PRISTINE NEBULAR DUST FROM THE TIME OF METEORITE ACCRETION. THE EC MATRIX HAS BEEN LITTLE STUDIED, PERHAPS BECAUSE OF THE RELATIVE RARITY OF UNEQUILIBRATED METEORITES. HOWEVER, METEORITE COLLECTION IN THE ANTARCTIC AND IN DESERT REGIONS HAS RESULTED IN THE RECENT AVAILABILITY OF NUMEROUS EH3 AND EL3 METEORITES. FRACTIONAL CONDENSATION AND HIGH C/O RATIOS HAVE BEEN PROPOSED AS AN EXPLANATION OF THE REDUCED EC MINERALOGY. HOWEVER, SULFIDATION OF SILICATES HAS ALSO BEEN SUGGESTED AS A WAY TO PRODUCE UNUSUAL SULFIDES OF NORMALLY LITHOPHILE ELEMENTS. EXAMPLES INCLUDE NININGERITE, ALABANDITE, AND OLDHAMITE (NOMINALLY MGS, MNS, AND CAS, RESPECTIVELY). A COMBINATION OF FRACTIONAL CONDENSATION AND SECONDARY SULFIDATION OF SILICATES AND OXIDES MAY HAVE PRODUCED THE EC MINERALS. MAJOR QUESTIONS EXIST ABOUT THE CONDITIONS UNDER WHICH SUCH MINERALS COULD HAVE FORMED. WE PROPOSE (1) A COMPREHENSIVE STUDY AND COMPARISON OF EC FINE-GRAINED MATRIX AND CHONDRULE RIMS TO DETERMINE THEIR COMPOSITION, NATURE, AND INFORMATION THEY MIGHT PROVIDE ABOUT CONDITIONS OF EC FORMATION; (2) A NANOSCALE CHARACTERIZATION OF SHOCKED MATERIAL IN ORDER TO ESTABLISH GUIDELINES FOR DETERMINING SHOCK ON EXTREMELY FINE SCALES; (3) AN EXAMINATION OF MINERAL ASSEMBLAGES TO TEST THE HYPOTHESIS THAT THE EC MINERALS COULD HAVE FORMED BY A COMBINATION OF FRACTIONAL CONDENSATION AND SILICATE SULFIDATION; AND (4) TO FURTHER CONSTRAIN THE ORIGIN AND HISTORY OF EC METAL AND SULFIDES BY EXTENDING OUR MEASUREMENT OF SIDEROPHILE ELEMENTS IN METAL-SULFIDE NODULES FROM SAHARA 97072 TO A LARGER GROUP OF E3 METEORITES. WE WILL USE PETROGRAPHIC MICROSCOPY; ELECTRON MICROPROBE ANALYSIS; SCANNING ELECTRON MICROSCOPY; LASER-ABLATION, INDUCTIVELY-COUPLED, PLASMA MASS SPECTROMETRY; AND TRANSMISSION ELECTRON MICROSCOPY FOR THESE STUDIES. THE OVERALL GOAL IS TO IMPROVE UNDERSTANDING OF THE CONDITIONS GIVING RISE TO THE UNUSUAL FEATURES OF THE ECS. THE PROPOSED STUDIES WILL CONTRIBUTE TO THE NASA VISION STATEMENT AND GOAL TO \ADVANCE SCIENTIFIC KNOWLEDGE OF THE ORIGIN AND HISTORY OF THE SOLAR SYSTEM ...\"" (NASA STRATEGIC GOALS AND RESEARCH OBJECTIVES, ROSES TABLE 1, P. 25). FUNDAMENTAL NEW KNOWLEDGE WILL BE GENERATED REGARDING IMPORTANT CONSTITUENTS OF BOTH HIGHLY REDUCED STONY METEORITES AND THE INFORMATION THEY CAN PROVIDE REGARDING EVENTS IN THE EARLY SOLAR SYSTEM.""",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX10AH34G,NSSC - NASA Shared Services Center,,AZ,'09',4/19/2010,6/30/2014,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,"72,000","402,100","402,100",[None Indicated],N/A,N/A,"Numerous petrologic, cosmochemical and isotopic measurements of chondrules, the igneous spherules found in abundance in chondrites, potentially can constrain physical conditions and processes in the forming solar system, but only if chondrule formation is well understood. Previous work by the PI (Desch&Connolly 2002) and his team, including studies funded a previous Origins of Solar Systems grant (Morris et al 2009a,b), have helped establish the viability of passage through shock waves in the solar nebula gas as the model for chondrule formation. We now turn our attention to using models of chondrule formation to constrain the physical conditions in the solar nebula, especially chondrule densities and clumpiness and the sizes and sources of the shocks. Doing so will require a refinement of current shock codes, expanding them to 2 dimensions (cylindrical geometry), to account for variations in chondrule density parallel to the shock front, and to model parabolic bow shocks associated with eccentric planetesimals. We propose to take the Perseus code written by the PI and his research team (Ouellette et al. 2007) to study supernova-driven bow shocks around protoplanetary disks and adapt it to the problem of chondrule formation. The critical modification will be the addition of modules to calculate the radiation field in cylindrical geometry. We describe details of how this and other changes will be achieved. We will apply this modified code to test 3 ideas about chondrule formation by shocks. 1.) Desch&Connolly (2002) hypothesized a correlation between compound chondrules and barred olivine textures because chondrules in clumps experience higher peak temperatures and faster cooling rates. But shock models assume uniform densities on scales of 10^5 km larger than the likely sizes of clumps,<10^3 km, and this idea is not fully tested. 2.) Recent measurements of primary Na in olivine phenocrysts by Alexander et al. (2008) led them to conclude chondrule melts were in equilibrium with high partial pressures of Na, due to partial evaporation of chondrules in exceptionally dense clumps. We instead hypothesize that high vapor pressures result from total evaporation of chondrules in dense clumps, with chondrules melted normally, in nearby regions of lower chondrule density being focused by shocks into the dense, vapor-rich regions. Our code will quantify and test this effect. 3.) Gravitational instabilities are one proposed source of shocks, but bow shocks driven by eccentric planetesimals are a very likely alternative. Proponents of the bow shock model hypothesize that chondrule cooling rates would match observational constraints, but this is untested. Our modified code, which will test the above hypotheses, is highly relevant to NASA's Strategic Goals and Research Objectives, especially subgoals 3C and 3D, and to the goals of the Origins of Solar Systems program. The key to understanding the origin of our solar system is to put chondrule formation in its proper context.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX10AH73G,NSSC - NASA Shared Services Center,,AZ,'09',4/28/2010,11/19/2014,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,"65,000","165,000","165,000",[None Indicated],N/A,N/A,"Mineralogy of carbonaceous and some ordinary chondrites reveal aqueous alteration on their parent asteroids. There are indications of alteration at variable temperature, pH, redox conditions and salinity of aqueous fluids. This work is aimed at evaluation of composition of asteroidal fluids based on numerical kinetic and equilibrium thermodynamic modeling of aqueous alteration of chondritic materials. The models include pH- and temperature-dependent rates of mineral dissolution, chemical equilibration among major solutes and disequilibria among some species, solubility-controlled mineral precipitation, effects of mineral grain size and exposure, solution-gas-partitioning, and gas escape. The modeling will allow us to evaluate concentrations and activities of inorganic and some simple organic solutes, pH and redox state of fluids, as well as composition of coexisted gas and solid phases. The modeling parameters will be constrained by secondary mineralogy, and chemical and isotopic composition of chondrites. We will evaluate evolution of fluid composition for specified CI, CM, CR, and ordinary chondrites. The results will be interpreted in the framework of mineralogical, chemical, and isotopic patterns observed in chondrites.",,,,,,,,,
"ARIZONA STATE UNIVERSITY [TEMPE,ARIZONA]",NNX10AJ29G,NSSC - NASA Shared Services Center,,AZ,'09',5/19/2010,12/2/2013,"Educational - Educational Institution, State Controlled Institution of Higher Learning, State Government, US Government Entity",Grant,0,"395,591","395,591",[None Indicated],N/A,N/A,"With this framework of characterizing processes leading to chemical disequilibria in mind, our central objectives are to quantify the amounts of chemical energy generated by planetary processes. Specifically we will focus on fluid/solid systems in which disequilibria can occur. Two types of fluid/solid systems will be targeted: Water/rock: appropriate to the Earth, Mars, meteorite parent bodies, and icy satellites, and Methane or Nitrogen/water-ice+organic compounds: appropriate to Titan, Triton, Pluto, and Kuiper Belt Objects. We will quantify the amounts of chemical energy generated by planetary processes by conducing theoretical models involving estimates of geochemical compositions and thermodynamic and kinetic calculations concerning the fates of those compositions, together with geophysical models of fluid flow, convection, and heat transport. We will take advantage of a decades worth of field and analytical data from Yellowstone hot springs already collected by this research group.",,,,,,,,,
