Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
John Andrew Peacock,"['University of Edinburgh/Royal Observatory', 'Blackford Hill', 'Edinburgh EH9 3HJ', 'United Kingdom']"
Margaret Penston,"['University of Cambridge', 'Inst of Astronomy', 'Madingley Rd', 'Cambridge CB3 0HA', 'United Kingdom']"
Michael A.C. Perryman,"['University of Bristol', 'H H Wills Physics Laboratory Astrophysics Group', 'PO Box 299', 'Tyndall Avenue', 'Bristol BS8 1TL', 'United Kingdom']"
John Peter Phillips,['Mexico ']
Iain Neill Reid,"['Space Telescope Science Institute', 'STScI', '3700 San Martin Drive', 'Baltimore MD 21218', 'Maryland (MD)', 'United States']"
Linda J. Smith,"['Space Telescope Science Institute', '3700 San Martin Drive', 'Baltimore MD 21218', 'Maryland (MD)', 'United States']"
Linda Sparke,"['NASA Headquarters', 'Astrophysics Division,Science Mission Directorate', '300 E Street SW', 'Washington DC 20546', 'Washington (WA)', 'United States']"
William Brian Sparks,"['Space Telescope Science Inst', '3700 San Martin Dr', 'Baltimore MD 21218-2410', 'Maryland (MD)', 'United States']"
Helen J. Walker,['United Kingdom ']
Janet E. Drew,"['University College London', 'Department of Physics and Astronomy', 'Gower Street', 'London WC1E 6BT', 'United Kingdom']"
Anthony Lasenby,"['University of Cambridge', 'Astophysics Group/Cavendish Laboratory', '19 JJ Thomson Ave', 'Cambridge CB3 0HE', 'United Kingdom']"
William P.S. Meikle,"['Imperial College London', 'Astrophysics Group', 'Prince Consort Rd', 'London SW7 2BZ', 'United Kingdom']"
Carl D. Murray,"['Queen Mary University of London', 'Astronomy Unit, School of Physics & Astronomy', 'Mile End Rd', 'London E1 4NS', 'United Kingdom']"
Rachael Padman,"['University of Cambridge', 'Astophysics Group/Cavendish Laboratory', '19 JJ Thomson Ave', 'Cambridge CB3 0HE', 'United Kingdom']"
George M. Simnett,"['University of Birmingham', 'School Physics-Astronomy', 'Edgbaston', 'Birmingham B15 2TT', 'United Kingdom']"
Igor Kapisinsky,['Slovakia ']
Márian Karlický,"['Academy of Sciences of Czech Republic', 'Astronomical Inst', 'Fricova 298', '251 65 Ondrejov', 'Czech Republic']"
Pavel Kotrc,"['Academy of Sciences of Czech Republic', 'Astronomical Inst', 'Fricova 298', '251 65 Ondrejov', 'Czech Republic']"
Milan Minarovjech,"['Slovak Academy of Sciences', '059 60 Tatranska Lomnica', 'Slovakia']"
Petr Pecina,"['Academy of Sciences of Czech Republic', 'Astronomical Inst', 'Fricova 298', '251 65 Ondrejov', 'Czech Republic']"
Jan Svoren,"['Slovak Academy of Sciences', 'Astronomical Inst', '059 60 Tatranska Lomnica', 'Slovakia']"
Vladimir Štefl,"['Faculty of Sciences Masaryk University', 'Dept of Theoretical Physics & Astrophysics', 'Kotlarska 2', '611 37 Brno', 'Czech Republic']"
Claus V. Fabricius,"['Universitat de Barcelona', 'IEEC - Institute of Cosmos Sciences - ICCUB', 'Marti i Franques 1', '08028 Barcelona', 'Spain']"
Peter Jakobsen,"['University of Copenhagen', 'The Niels Bohr Institute Dark Cosmology Centre', 'Juliane Maries Vej 30', 'DK-2100 Copenhagen', 'Denmark']"
Jes Madsen,"['University of Aarhus', 'Inst Physics-Astronomy', 'Ny Munkegade', 'Bld. 1520', '8000 Aarhus C', 'Denmark']"
Bo Reipurth,"['University of Hawaii at Manoa', 'Inst f Astronomy', '640 North Aohoku Place', 'Hilo HI 96720-2700', 'Hawaii (HI)', 'United States']"
Seppo Mikkola,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Aimo Niemi,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Heikki Salo,"['University of Oulu', 'Dept Physical Sciences Astronomy Div', 'Tähtitieteen tutkimusryhmä Luonnontieteellinen tiedekunta', 'Box 3000', '90014 Oulun yliopisto', 'Finland']"
Seppo I. Urpo,['Finland ']
Esko Valtaoja,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie 20', '21500 Piikkiö', 'Finland']"
Jean-Paul Arnaud,['France ']
Michel Auriere,"['Observatoire Midi-Pyrenées', '14 Av E Belin', '31400 Toulouse Cedex', 'France']"
Jean-Paul Baluteau,"['Observatoire Astronomique de Marseille-Provence', '2 Pl Le Verrier', '13248 Marseille Cedex 04', 'France']"
Daniel Bonneau,"[""Observatoire de la Côte d'Azur"", 'Lagrange', '3 rue du Collet', '06530 Spéracédes', 'France']"
Gilbert Chambe,"['Observatoire Paris-Site de Meudon', 'LESIA', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Alain Chelli,"['Observatoire de Grenoble', 'Laboratoire Astrophysique', 'BP 53', '38041 Grenoble Cedex 9', 'France']"
Emmanuel Davoust,"['Observatoire Midi-Pyrenées', 'IRAP', '14 Av E Belin', '31400 Toulouse', 'France']"
Marc A. Dubois,"['CREATE', 'Director', '3 route des Salines', '50290 Bricqueville sur Mer', 'France']"
Marie-France Duval,"['Observatoire de Marseille', 'Association ANDROMEDE', '2 Place Le Verrier', '13004 Marseille', 'France']"
Monique Joly,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Alain Journet,['France ']
Marc Lachieze-Rey,"['CEA Saclay', ""Service d'Astrophysique"", ""L'Orme des Merisiers Bat 709"", 'BP 2', '91191 Gif-sur-Yvette Cedex', 'France']"
Louis d'Hendecourt,"['Université Paris XI', 'IAS', 'Bt 121', '91405 Orsay Cedex', 'France']"
Jean-Pierre Luminet,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Michel Marcelin,"[""Laboratoire d'Astrophysique de Marseille"", '38 rue Frédéric Joliot Curie', '13013 Marseille', 'France']"
Bruno Milliard,"[""Laboratoire d'Astronomie Spatiale"", 'Traverse du Siphon', 'Les Trois Lucs, PB8', '13376 Marseille Cedex 12', 'France']"
Edouard Oblak,['France ']
Georges Paturel,"['Université Cl-Bernard Lyon 1', 'Observatoire Astronomique Lyon', '9 av Charles André', '69561 St Genis Laval Cedex', 'France']"
Dominique Proust,"['Observatoire Paris-Site de Meudon', 'GEPI', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Jean Schneider,"['Observatoire Paris-Site de Meudon', 'LUTH', '5 Pl Jules Janssen', '92190 Meudon', 'France']"
Guy Simon,"['Observatoire Paris-Site de Meudon', 'GEPI', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Christian Veillet,"['LBTO', '933 N. Cherry Avenue', 'Tucson AZ 85721', 'Arizona (AZ)', 'United States']"
Hans J. Haubold,"['United Nations', 'Office for Outer Space Affairs', 'Vienna International Centre', 'PO Box 500 (Wagramerstr. 5)', 'A-1400 Vienna', 'Austria']"
Diedrich Moehlmann,['Germany ']
Janos Kelemen,"['Hungarian Academy of Sciences', 'Konkoly Observatory', 'Konkoly Th. U. 15-17', '1121 Budapest', 'Hungary']"
Lidia van Driel-Gesztelyi,"['University College London', 'Space and Climate Physics, Mullard Space Science Laboratory', 'London', 'United Kingdom']"
Iratio Radiman,"['Observatory Bosscha ITB', 'Astronomy Dept', 'Lembang 40391', 'Indonesia']"
Yuri A. Fadeyev,"['Institute of Astronomy of the Russian Academy of Sciences', 'Department of nonstationary stars and stellar spectroscopy', 'Pyatnitskaya ul 48', '119017 Moscow', 'Russian Federation']"
Anatolij E. Piskunov,"['Inst of Astronomy RAS', 'Pyatnitskaya ul 48', '119017 Moscow', 'Russian Federation']"
Taimas S. Yuldashbaev,['Uzbekistan ']
Lev R. Yungelson,"['Inst of Astronomy RAS', 'Stellar physics and evolution', 'Pyatnitskaya ul 48', '119017 Moscow', 'Russian Federation']"
Nikolay S. Sidore'nkov,"['Hydrometeorological Center of Russian Federation', 'Bolshoj Predtechenskij per 11/13', '123242 Moscow', 'Russian Federation']"
Dmitrij F. Lupishko,"['Kharkiv V. N. Karazin National University', 'Institute of Astronomy', '35 Sumska Str', 'Kharkiv 61022', 'Ukraine']"
Matrona V. Bratijchuk,['Ukraine ']
Zenonas R. Rudzikas,['Lithuania ']
Aleksej M. Fridman,['Russian Federation ']
Gennadij M. Petrov,['Russian Federation ']
Valentin I. Makarov,['Russian Federation ']
Nina M. Bronnikova,['Russian Federation ']
Tamara P. Kisseleva,"['Central Astron Observatory of the RAS Pulkovo', 'Pulkovskoe shosse 65/1', '196140 St Petersburg', 'Russian Federation']"
Roman I. Kostik,"['Main Astronomical Observatory', '27 Acad. Zabolotnoho St', 'Kyiv 03680', 'Ukraine']"
Tiit Nugis,"['Estonian Academy of Sciences', 'Tartu Observatory', 'Tõravere', '61602 Tartu', 'Estonia']"
Leonid I. Snezhko,['Russian Federation ']
Nikolaj N. Shefov,['Russian Federation ']
Kyu Hong CHOI,"['Yonsei University', 'Dept Astronomy/Meteorology', '134 Sinchon-Dong', 'Seodaemun-Ku', 'Seoul 120-749', 'Korea, Rep of']"
Tu Whan KIM,"['Ajou University', 'School Info & Comp', 'San 5 Wonchon Paldal Suwon', 'Kyungki-do 442-749', 'Korea, Rep of']"
L. M. Braga da Costa Campos,"['Inst Sup Tecnico Compl Interdisciplinar', 'Av Rovisco Pais', '1096 Lisboa', 'Portugal']"
Christopher Corbally,"['Specola Vaticana', 'Steward Observatory-Vatican Observatory Research Group', '00120 Città del Vaticano', 'Vatican City State']"
Vladimir Čadež,"['Astronomical Observatory', 'Volgina 7', 'PO Box 74', '11160 Belgrade', 'Serbia, Republic of']"
Jelena Milogradov-Turin,"['Serbia, Republic of ']"
Slobodan Ninković,"['Astronomical Observatory', 'Volgina 7', '11060 Belgrade', 'Serbia, Republic of']"
Christian Koeberl,"['University of Vienna', 'Department of Lithospheric Research', 'Althanstrasse 14', '1090 Vienna', 'Austria']"
Arnold Hanslmeier,"['Karl Franzens University', 'Inst of Astronomy', 'Universitaetsplatz 5', '8010 Graz', 'Austria']"
Martin Solc,"['Charles University', 'Astronomical Inst', 'V Holešovickách 2', '180 00 Praha 8', 'Czech Republic']"
John Gerard Doyle MRIA,"['Armagh Observatory', 'College Hill', 'Armagh BT61 9DG', 'Northen Ireland', 'United Kingdom']"
Eugene T. Kennedy,"['National Inst Higher Education', 'School Physical Science', 'Glasnevin', '9 Dublin', 'Ireland']"
Tom Ray,"['Dublin Institute for Advanced Studies', 'DIAS', 'School of Cosmic Physics', '31 Fitzwillam Place', 'D2 Dublin', 'Ireland']"
Heinz Barwig,"['Universitäts München', 'Universitäts-Sternwarte', 'Scheiherstr 1', '81679 München', 'Germany']"
Ulrich Bastian,"['Zentrum für Astronomie Heidelberg', 'Astronomisches Rechen-Institut', 'Mönchhofstrasse 12-14', '69120 Heidelberg', 'Germany']"
Rolf Chini,"['Ruhr-Universität Bochum', 'Astronomisches Inst', 'Universitätstr 150/NA7', 'Postfach 102148', '44780 Bochum', 'Germany']"
Juhan Frank,"['Louisiana State University', 'Physics-Astronomy Dept', '202 Nicholson Hall', 'Baton Rouge LA 70803', 'Louisiana (LA)', 'United States']"
Friedrich-Karl Thielemann,"['Universität Basel', 'Departement Physik', 'Klingelbergstrasse 82', '4056 Basel', 'Switzerland']"
Guenter Wunner,"['Universität Stuttgart', 'Inst Theor Physik 1', '70550 Stuttgart', 'Germany']"
Hans Zinnecker,"['Leibniz-Institut für Astrophysik Potsdam', 'AIP', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Dionigi Galletto,['Italy ']
Roberto Gallino,"['Università di Torino', 'Dipto di Fisica', 'Via P. Giuria, 1', '10125 Torino', 'Italy']"
Orazio Bendinelli,['Italy ']
Enrico G. Tanzi,['Italy ']
Edoardo Trussoni,"['INAF', 'Osservatorio Astronomico di Torino', 'Via Osservatorio 20', 'Pino Torinese', '10025 Torino', 'Italy']"
Guido Di Cocco,"['INAF', 'IASF Bologna', 'Via P Gobetti 101', '40129 Bologna', 'Italy']"
Dario Maccagni,"['INAF', 'IASF Milano', 'Via Corti 12', '20133 Milano', 'Italy']"
Nazzareno Mandolesi,"['INAF', 'IASF Bologna', 'Via P Gobetti 101', '40129 Bologna', 'Italy']"
Piero Salinari,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Roberto Buonanno,"['INAF', 'Osservatorio Astronomico di Roma', 'Via del Parco Mellini 84', '00136 Roma', 'Italy']"
Carla Maceroni,"['INAF', 'Istituto di Astrofisica e Planetologia Spaziali', 'Viaa del Fosso del Cavaliere', 'Roma', '00133 Roma', 'Italy']"
Roberto Nesci,"['Istituto Nazionale di Astrofisica', 'Istituto di Astrofisica e Planetologia Spaziale', 'via Fosso del Cavaliere, 100', '00133 Roma', 'Italy']"
Luciana Federici,"['INAF', 'Osservatorio Astronomico di Bologna', 'Via Ranzani 1', '40127 Bologna', 'Italy']"
Carlo Giovanardi,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Fausto Vagnetti,"['Università di Roma Tor Vergata', 'Dipto di Fisica', 'Via della Ricerca Scientifica, 1', '00133 Roma', 'Italy']"
Mario Di Martino,"['INAF', 'Osservatorio Astrofisico di Torino', 'Via Osservatorio 20', 'Pino Torinese', '10025 Torino', 'Italy']"
Sebastiana Lai,"['INAF', 'Osservatorio Astronomico di Cagliari', 'Poggio dei Pini Strada 54', 'Capoterra', '09012 Cagliari', 'Italy']"
Ruggero M. Stanga,"['Università degli Studi di Firenze', 'Dipto di Fisica ed Astronomia', 'Largo E Fermi, 3', '50125 Firenze', 'Italy']"
Giorgio Einaudi,"['Università di Pisa', 'Dipto di Fisica ""E. Fermi""', 'Largo Bruno Pontecorvo 3', '56127 Pisa', 'Italy']"
Fabio Cavallini,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Giuseppe Severino,"['INAF', 'Osservatorio Astronomico di Capodimonte', 'Via Moiarello 16', '80131 Napoli', 'Italy']"
Bruno Barberis,"['Università di Torino', 'Dipto di Matematica', 'Via C Alberto 10', '10123 Torino', 'Italy']"
Amedeo Tornambe,"['INAF', 'Osservatorio Astronomico di Roma', 'Via Frascati 33', 'Monte Porzio Catone', '00040 Roma', 'Italy']"
Lorenzo Zaninetti,"['Università di Torino', 'Dipto di Fisica', 'Via P. Giuria, 1', '10125 Torino', 'Italy']"
Silvano Massaglia,"['Università di Torino', 'Dipto di Fisica', 'Via P. Giuria, 1', '10125 Torino', 'Italy']"
Ciro Marmolino,"['Università degli Studi del Molise', 'Facoltà di Scienze MM.FF.NN.', 'Contrada Fonte Lappone, s.n.c.', '86090 Pesche', 'Italy']"
Maurizio Busso,"['INAF', 'Osservatorio Astronomico di Torino', 'Via Osservatorio 20', 'Pino Torinese', '10025 Torino', 'Italy']"
Francesca Matteucci,"['Università di Trieste', 'Dipto di Astronomia', 'Via G. B. Tiepolo 11', '34131 Trieste', 'Italy']"
Monica Cerruti Sola,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Fabio Pasian,"['INAF', 'Osservatorio Astronomico di Trieste', 'Via G. B. Tiepolo 11', '34143 Trieste', 'Italy']"
Sergio Ortolani,"['Università di Padova', 'Dipto di Astronomia', ""Vicolo dell'Osservatorio 2"", '35122 Padova', 'Italy']"
Roberto Bedogni,"['INAF', 'Osservatorio Astronomico di Bologna', 'Via Ranzani 1', '40127 Bologna', 'Italy']"
Alberto Franceschini,"['INAF', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Gian Paolo Tozzi,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Carlo Morossi,"['INAF', 'Osservatorio Astronomico di Trieste', 'Via G. B. Tiepolo 11', '34131 Trieste', 'Italy']"
Daniela Bettoni,"['INAF', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Hans Rudolf de Ruiter,"['INAF', 'Istituto di Radioastronomia', 'Via Gobetti, 101', '40129 Bologna', 'Italy']"
Monica Tosi,"['Istituto Nazionale di AstroFisica', 'Osservatorio di Astrofisica e Scienza dello Spazio di Bologna', 'Via Gobetti 93/3', '40129 Bologna', 'Italy']"
Roberto Gilmozzi,"['ESO', 'Karl-Schwarzschild-Str 2', '85748 Garching bei München', 'Germany']"
Francesca Zuccarello,"['Università di Catania', 'Dipartimento Fisica-Astron Sez Astrofisica', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
Luciana Bianchi,"['Johns Hopkins University', 'Dept. of Physics and Astronomy', '3701 San Martin Dr', 'Baltimore MD 21218-2686', 'Maryland (MD)', 'United States']"
Nicola Vittorio,"['Università di Roma Tor Vergata', 'Dipto di Fisica', 'Via della Ricerca Scientifica, 1', '00133 Roma', 'Italy']"
Francesco Palla,['Italy ']
Marco Pettini,"['INAF', 'Osservatorio Astrofisico di Arcetri', 'Largo E Fermi 5', '50125 Firenze', 'Italy']"
Massimo Ramella,"['INAF', 'Osservatorio Astronomico di Trieste', 'Via G. B. Tiepolo 11', '34131 Trieste', 'Italy']"
Ginevra Trinchieri,"['INAF', 'Osservatorio Astronomico di Brera', 'Via Brera 28', '20121 Milano', 'Italy']"
Giuseppe Tanzella-Nitti,"['Pontifical University of the Holy Cross', 'Piazza S. Apollinare 49', '00186 Roma', 'Italy']"
Giovanni de Sanctis,"['INAF', 'Osservatorio Astronomico di Torino', 'Via Osservatorio 20', 'Pino Torinese', '10025 Torino', 'Italy']"
Marco Scardia,"['INAF', 'Osservatorio Astronomico di Brera', 'Via  Emilio Bianchi  n.46', '23807 Merate (LC)', 'Italy']"
Jesús González de Buitrago,"['Instituto de Astrofísica de Canarias', 'Observatorio del Teide', 'C/ Vía Láctea s/n', '38200 La Laguna, Tenerife', 'Spain']"
Valentin Bujarrabal,"['Observatorio Astronomico Nacional', 'Aptdo 112', '28803 Alcala de Henares', 'Spain']"
Elisa de Castro,"['Univ Complutense de Madrid', 'UCM-Fac Ciencias Físicas', 'Depto Astrofísica', 'Ciudad Universitaria', '28040 Madrid', 'Spain']"
Manuel Cornide,"['Univ Complutense de Madrid', 'UCM-Fac Ciencias Físicas', 'Depto Astrofísica', 'Ciudad Universitaria', '28040 Madrid', 'Spain']"
Jose-Angel Docobo,"['Universidade Santiago de Compostela', 'Observatorio Astronomico RM Aller', 'Avda de las Ciencias s/n', 'PO Box 197', '15782 Santiago de Compostela', 'Spain']"
Antonio Elipe,"['Universidad de Zaragoza', 'Depto de Matematica Aplicada', 'C/ Pedro Cerbuna 12', '50009 Zaragoza', 'Spain']"
Martinez Sebastian Ferrer,"['Universidad de Zaragoza', 'Depto Fis Tierra/Cosmos', '50009 Zaragoza', 'Spain']"
Ignacio García de la Rosa,"['Instituto de Astrofísica de Canarias', 'Observatorio del Teide', 'C/ Vía Láctea s/n', '38200 La Laguna, Tenerife', 'Spain']"
Álvaro Giménez,"['Consejo Superior de Investigaciones Científicas', 'Fundación General CSIC', 'Principe de Vergara, 9', '28001 Madrid', 'Spain']"
Javier Labay,"['Universidad de Barcelona', ""Depto d'Astronomia i Meteorologia"", 'Marti i Franques 1', '08028 Barcelona', 'Spain']"
Jesus Martin-Pintado,"['Centro de Astrobiologia (INTA-CSIC)', 'Astrophysics', 'Ctra de Torrejón a Ajalvir, km 4', '28850 Torrejon de Ardoz (Madrid)', 'Spain']"
Pere Planesas,"['Observatorio Astronómico Nacional', 'Alfonso XII, 3', '28014 Madrid', 'Spain']"
Teodoro Roca Cortés,"['Instituto de Astrofísica de Canarias', 'Depto Astrofísica', 'C/ Vía Láctea s/n', '38200 La Laguna, Tenerife', 'Spain']"
Maria Pilar Romero Pérez,"['Univ Complutense de Madrid', 'UCM', 'Facultad de Ciencias Matemáticas', 'Departamento de Astronomía y Geodesia', 'Ciudad Universitaria', '28040 Madrid', 'Spain']"
Gaspar Rossello,"['Universidad de Barcelona', ""Depto d'Astronomia i Meteorologia"", 'Marti i Franques 1', '08028 Barcelona', 'Spain']"
Eduardo Salvador-Sole,"['Universidad de Barcelona', ""Depto d'Astronomia i Meteorologia"", 'Marti i Franques 1', '08028 Barcelona', 'Spain']"
Blai Sanahuja Parera,"['Universitat de Barcelona', 'Dept. Astronomia i Meteorologia', 'Marti i Franques 1', '08028 Barcelona', 'Spain']"
Rafael Garrido,"['Inst de Astrofisica de Andalucía', 'C/ Bajo de Huétor 50', '18008 Granada', 'Spain']"
Antonio J. Delgado,"['Inst de Astrofisica de Andalucía', 'C/ Glorieta de la Astronomía', '18008 Granada', 'Spain']"
Emilio Javier Alfaro,"['Inst de Astrofisica de Andalucía, CSIC', 'Radioastronomy and Galactic Structure Department', 'Glorieta de la Astronomía, s/n', '18008 Granada', 'Spain']"
